playerFullName,teamAbbrevs,positionCode,playerType,freeAgent,gamesPlayed,fantasy_points_total,fantasy_points_per_game
Samuel Blais,TOR,L,Skater,0,1,9.65,9.65
Nico Daws,NJD,G,Goalie,0,1,9.5,9.5
Mark Stone,VGK,R,Skater,0,6,52.7,8.783
Eric Comrie,WPG,G,Goalie,1,2,16.75,8.375
Jack Eichel,VGK,C,Skater,0,10,83.1,8.31
Colten Ellis,BUF,G,Goalie,1,1,8.25,8.25
Jakub Dobes,MTL,G,Goalie,0,6,45.75,7.625
Nathan MacKinnon,COL,C,Skater,0,11,81.25,7.386
Tristan Jarry,PIT,G,Goalie,1,6,44.0,7.333
Elvis Merzlikins,CBJ,G,Goalie,0,5,36.0,7.2
Mark Scheifele,WPG,C,Skater,0,11,74.8,6.8
David Pastrnak,BOS,R,Skater,0,13,86.65,6.665
Nick Schmaltz,UTA,C,Skater,0,11,73.14999999999999,6.65
Arturs Silovs,PIT,G,Goalie,0,6,39.75,6.625
Adrian Kempe,LAK,R,Skater,0,12,78.0,6.5
Jonas Johansson,TBL,G,Goalie,0,3,19.25,6.417
Dylan Larkin,DET,C,Skater,0,11,70.5,6.409
Macklin Celebrini,SJS,C,Skater,0,11,70.45,6.405
Cale Makar,COL,D,Skater,0,11,69.8,6.345
Jonathan Quick,NYR,G,Goalie,1,3,19.0,6.333
Dan Vladar,PHI,G,Goalie,0,6,37.75,6.292
Brandon Montour,SEA,D,Skater,0,6,37.6,6.267
Jack Hughes,NJD,C,Skater,0,11,68.30000000000001,6.209
Drake Batherson,OTT,R,Skater,0,9,54.650000000000006,6.072
Connor Hellebuyck,WPG,G,Goalie,0,9,54.0,6.0
Jake Oettinger,DAL,G,Goalie,0,9,53.75,5.972
Kiefer Sherwood,VAN,L,Skater,0,12,71.64999999999999,5.971
Cole Caufield,MTL,R,Skater,0,11,65.35,5.941
Kirill Kaprizov,MIN,L,Skater,0,12,71.14999999999999,5.929
Matthew Knies,TOR,L,Skater,0,11,65.2,5.927
Sidney Crosby,PIT,C,Skater,0,12,71.10000000000001,5.925
Joey Daccord,SEA,G,Goalie,0,8,47.25,5.906
Tom Wilson,WSH,R,Skater,0,10,58.900000000000006,5.89
Kyle Connor,WPG,L,Skater,0,11,63.699999999999996,5.791
David Rittich,NYI,G,Goalie,1,3,17.25,5.75
Logan Thompson,WSH,G,Goalie,0,7,40.25,5.75
Brandon Bussi,CAR,G,Goalie,1,4,23.0,5.75
Pavel Dorofeyev,VGK,R,Skater,0,10,57.15,5.715
Thatcher Demko,VAN,G,Goalie,0,7,39.75,5.679
Leon Draisaitl,EDM,C,Skater,0,12,68.0,5.667
Dylan Cozens,OTT,C,Skater,0,12,67.95,5.663
Nick Suzuki,MTL,C,Skater,0,11,61.3,5.573
William Nylander,TOR,R,Skater,0,9,49.9,5.544
Bo Horvat,NYI,C,Skater,0,10,55.300000000000004,5.53
Mikko Rantanen,DAL,R,Skater,0,11,60.49999999999999,5.5
Carl Lindbom,VGK,G,Goalie,1,1,5.5,5.5
Connor Bedard,CHI,C,Skater,0,11,60.45,5.495
Chris Kreider,ANA,L,Skater,0,5,27.4,5.48
Martin Necas,COL,C,Skater,0,11,60.10000000000001,5.464
Spencer Knight,CHI,G,Goalie,0,8,43.5,5.438
